date,EPS,pb_ratio,pe_ratio,roe,fcf,P_mean,P_sum,twt_count,Adj Close
2018-01-03,0.41,4.31,500.122,0.009,-509542000.0,0.071,24,337,205.05
2018-01-04,0.41,4.323,500.122,0.009,-509542000.0,-0.018,-4,216,205.63
2018-01-05,0.41,4.414,500.122,0.009,-509542000.0,-0.02,-6,304,209.99
2018-01-08,0.41,4.458,500.122,0.009,-509542000.0,-0.008,-2,261,212.05
2018-01-09,0.41,4.4,500.122,0.009,-509542000.0,-0.025,-6,238,209.31
2018-01-10,0.41,4.468,500.122,0.009,-509542000.0,-0.026,-7,268,212.52
2018-01-11,0.41,4.567,500.122,0.009,-509542000.0,0.0,0,370,217.24
2018-01-12,0.41,4.651,500.122,0.009,-509542000.0,-0.003,-1,320,221.23
2018-01-16,0.41,4.657,500.122,0.009,-509542000.0,0.01,3,310,221.53
2018-01-17,0.41,4.572,500.122,0.009,-509542000.0,0.003,1,307,217.5
2018-01-18,0.41,4.632,500.122,0.009,-509542000.0,-0.04,-12,297,220.33
2018-01-19,0.41,4.634,500.122,0.009,-509542000.0,-0.07,-23,328,220.46
2018-01-22,0.41,4.784,500.122,0.009,-509542000.0,-0.043,-59,1383,227.58
2018-01-23,0.41,5.262,500.122,0.009,-509542000.0,-0.061,-88,1438,250.29
2018-01-24,0.41,5.493,500.122,0.009,-509542000.0,-0.084,-65,769,261.3
2018-01-25,0.41,5.67,500.122,0.009,-509542000.0,-0.123,-102,831,269.7
2018-01-26,0.41,5.773,500.122,0.009,-509542000.0,-0.118,-57,483,274.6
2018-01-29,0.41,5.983,500.122,0.009,-509542000.0,-0.101,-73,725,284.59
2018-01-30,0.41,5.861,500.122,0.009,-509542000.0,-0.141,-89,630,278.8
2018-01-31,0.41,5.682,500.122,0.009,-509542000.0,-0.167,-107,639,270.3
2018-02-01,0.41,5.572,500.122,0.009,-509542000.0,-0.156,-55,352,265.07
2018-02-02,0.41,5.622,500.122,0.009,-509542000.0,-0.04,-14,346,267.43
2018-02-05,0.41,5.345,500.122,0.009,-509542000.0,-0.033,-10,302,254.26
2018-02-06,0.41,5.586,500.122,0.009,-509542000.0,-0.037,-12,323,265.72
2018-02-07,0.41,5.561,500.122,0.009,-509542000.0,-0.087,-25,286,264.56
2018-02-08,0.41,5.258,500.122,0.009,-509542000.0,-0.106,-28,264,250.1
2018-02-09,0.41,5.244,500.122,0.009,-509542000.0,-0.019,-6,320,249.47
2018-02-12,0.41,5.423,500.122,0.009,-509542000.0,0.014,4,297,257.95
2018-02-13,0.41,5.429,500.122,0.009,-509542000.0,-0.028,-8,291,258.27
2018-02-14,0.41,5.592,500.122,0.009,-509542000.0,-0.034,-15,440,266.0
2018-02-15,0.41,5.892,500.122,0.009,-509542000.0,-0.018,-8,449,280.27
2018-02-16,0.41,5.855,500.122,0.009,-509542000.0,-0.069,-23,333,278.52
2018-02-20,0.41,5.856,500.122,0.009,-509542000.0,-0.027,-9,332,278.55
2018-02-21,0.41,5.908,500.122,0.009,-509542000.0,-0.05,-22,439,281.04
2018-02-22,0.41,5.847,500.122,0.009,-509542000.0,-0.088,-32,362,278.14
2018-02-23,0.41,6.011,500.122,0.009,-509542000.0,-0.056,-17,306,285.93
2018-02-26,0.41,6.184,500.122,0.009,-509542000.0,-0.023,-12,514,294.16
2018-02-27,0.41,6.109,500.122,0.009,-509542000.0,-0.052,-20,384,290.61
2018-02-28,0.41,6.125,500.122,0.009,-509542000.0,-0.073,-26,354,291.38
2018-03-01,0.41,6.104,500.122,0.009,-509542000.0,-0.076,-28,368,290.39
2018-03-02,0.41,6.329,500.122,0.009,-509542000.0,-0.021,-12,582,301.05
2018-03-05,0.41,6.622,500.122,0.009,-509542000.0,-0.04,-31,766,315.0
2018-03-06,0.41,6.837,500.122,0.009,-509542000.0,-0.041,-31,752,325.22
2018-03-07,0.41,6.751,500.122,0.009,-509542000.0,-0.103,-65,633,321.16
2018-03-08,0.41,6.664,500.122,0.009,-509542000.0,-0.067,-25,374,317.0
2018-03-09,0.41,6.967,500.122,0.009,-509542000.0,-0.039,-22,564,331.44
2018-03-12,0.41,6.754,500.122,0.009,-509542000.0,-0.115,-76,659,321.3
2018-03-13,0.41,6.64,500.122,0.009,-509542000.0,-0.096,-42,440,315.88
2018-03-14,0.41,6.76,500.122,0.009,-509542000.0,-0.058,-26,450,321.55
2018-03-15,0.41,6.75,500.122,0.009,-509542000.0,-0.076,-23,301,321.09
2018-03-16,0.41,6.694,500.122,0.009,-509542000.0,-0.044,-13,294,318.45
2018-03-19,0.41,6.59,500.122,0.009,-509542000.0,-0.103,-42,409,313.48
2018-03-20,0.41,6.674,500.122,0.009,-509542000.0,-0.035,-12,347,317.5
2018-03-21,0.41,6.653,500.122,0.009,-509542000.0,-0.076,-23,304,316.48
2018-03-22,0.41,6.447,500.122,0.009,-509542000.0,-0.068,-19,280,306.7
2018-03-23,0.41,6.326,500.122,0.009,-509542000.0,-0.053,-15,282,300.94
2018-03-26,0.41,6.734,500.122,0.009,-509542000.0,-0.052,-17,324,320.35
2018-03-27,0.41,6.321,500.122,0.009,-509542000.0,-0.096,-42,439,300.69
2018-03-28,0.41,6.007,500.122,0.009,-509542000.0,-0.117,-69,588,285.77
2018-03-29,0.41,6.209,500.122,0.009,-509542000.0,-0.093,-48,515,295.35
2018-04-02,0.64,5.892,461.484,0.013,-273927000.0,-0.121,-52,430,280.29
2018-04-03,0.64,5.963,461.484,0.013,-273927000.0,-0.093,-33,355,283.67
2018-04-04,0.64,6.074,461.484,0.013,-273927000.0,-0.049,-18,369,288.94
2018-04-05,0.64,6.18,461.484,0.013,-273927000.0,-0.016,-5,317,293.97
2018-04-06,0.64,6.072,461.484,0.013,-273927000.0,-0.052,-23,445,288.85
2018-04-09,0.64,6.095,461.484,0.013,-273927000.0,-0.033,-11,333,289.93
2018-04-10,0.64,6.266,461.484,0.013,-273927000.0,-0.049,-19,387,298.07
2018-04-11,0.64,6.384,461.484,0.013,-273927000.0,0.007,4,586,303.67
2018-04-12,0.64,6.501,461.484,0.013,-273927000.0,-0.02,-10,487,309.25
2018-04-13,0.64,6.551,461.484,0.013,-273927000.0,0.005,3,593,311.65
2018-04-16,0.64,6.47,461.484,0.013,-273927000.0,-0.005,-7,1377,307.78
2018-04-17,0.64,7.065,461.484,0.013,-273927000.0,-0.017,-27,1629,336.06
2018-04-18,0.64,7.032,461.484,0.013,-273927000.0,-0.04,-26,644,334.52
2018-04-19,0.64,6.994,461.484,0.013,-273927000.0,-0.076,-38,503,332.7
2018-04-20,0.64,6.89,461.484,0.013,-273927000.0,-0.058,-24,417,327.77
2018-04-23,0.64,6.699,461.484,0.013,-273927000.0,-0.075,-30,402,318.69
2018-04-24,0.64,6.454,461.484,0.013,-273927000.0,-0.103,-43,419,307.02
2018-04-25,0.64,6.428,461.484,0.013,-273927000.0,-0.092,-37,400,305.76
2018-04-26,0.64,6.6,461.484,0.013,-273927000.0,-0.036,-10,282,313.98
2018-04-27,0.64,6.554,461.484,0.013,-273927000.0,-0.085,-28,330,311.76
2018-04-30,0.64,6.568,461.484,0.013,-273927000.0,-0.058,-14,241,312.46
2018-05-01,0.64,6.586,461.484,0.013,-273927000.0,-0.066,-19,290,313.3
2018-05-02,0.64,6.587,461.484,0.013,-273927000.0,-0.042,-10,240,313.36
2018-05-03,0.64,6.552,461.484,0.013,-273927000.0,-0.052,-11,212,311.69
2018-05-04,0.64,6.729,461.484,0.013,-273927000.0,-0.043,-11,256,320.09
2018-05-07,0.64,6.859,461.484,0.013,-273927000.0,-0.065,-22,337,326.26
2018-05-08,0.64,6.872,461.484,0.013,-273927000.0,-0.037,-11,300,326.89
2018-05-09,0.64,6.943,461.484,0.013,-273927000.0,-0.072,-18,249,330.3
2018-05-10,0.64,6.929,461.484,0.013,-273927000.0,-0.071,-16,224,329.6
2018-05-11,0.64,6.863,461.484,0.013,-273927000.0,-0.036,-8,219,326.46
2018-05-14,0.64,6.906,461.484,0.013,-273927000.0,-0.008,-2,258,328.53
2018-05-15,0.64,6.856,461.484,0.013,-273927000.0,-0.029,-8,272,326.13
2018-05-16,0.64,6.899,461.484,0.013,-273927000.0,-0.057,-16,282,328.19
2018-05-17,0.64,6.837,461.484,0.013,-273927000.0,-0.04,-11,274,325.22
2018-05-18,0.64,6.815,461.484,0.013,-273927000.0,-0.085,-15,177,324.18
2018-05-21,0.64,6.975,461.484,0.013,-273927000.0,-0.026,-11,420,331.82
2018-05-22,0.64,6.971,461.484,0.013,-273927000.0,-0.079,-32,403,331.62
2018-05-23,0.64,7.247,461.484,0.013,-273927000.0,0.037,25,683,344.72
2018-05-24,0.64,7.343,461.484,0.013,-273927000.0,-0.026,-22,839,349.29
2018-05-25,0.64,7.385,461.484,0.013,-273927000.0,-0.026,-14,533,351.29
2018-05-29,0.64,7.352,461.484,0.013,-273927000.0,-0.076,-30,394,349.73
2018-05-30,0.64,7.432,461.484,0.013,-273927000.0,-0.108,-34,316,353.54
2018-05-31,0.64,7.391,461.484,0.013,-273927000.0,-0.112,-33,295,351.6
2018-06-01,0.64,7.566,461.484,0.013,-273927000.0,0.034,12,351,359.93
2018-06-04,0.64,7.606,461.484,0.013,-273927000.0,-0.07,-27,383,361.81
2018-06-05,0.64,7.69,461.484,0.013,-273927000.0,-0.014,-7,487,365.8
2018-06-06,0.64,7.724,461.484,0.013,-273927000.0,-0.007,-2,292,367.45
2018-06-07,0.64,7.597,461.484,0.013,-273927000.0,-0.04,-13,321,361.4
2018-06-08,0.64,7.58,461.484,0.013,-273927000.0,-0.012,-3,261,360.57
2018-06-11,0.64,7.598,461.484,0.013,-273927000.0,-0.09,-22,245,361.45
2018-06-12,0.64,7.648,461.484,0.013,-273927000.0,-0.081,-23,285,363.83
2018-06-13,0.64,7.987,461.484,0.013,-273927000.0,-0.063,-59,936,379.93
2018-06-14,0.64,8.259,461.484,0.013,-273927000.0,-0.064,-56,874,392.87
2018-06-15,0.64,8.24,461.484,0.013,-273927000.0,-0.013,-8,620,391.98
2018-06-18,0.64,8.207,461.484,0.013,-273927000.0,-0.044,-12,273,390.4
2018-06-19,0.64,8.513,461.484,0.013,-273927000.0,-0.025,-21,837,404.98
2018-06-20,0.64,8.761,461.484,0.013,-273927000.0,-0.085,-92,1080,416.76
2018-06-21,0.64,8.733,461.484,0.013,-273927000.0,-0.122,-125,1028,415.44
2018-06-22,0.64,8.642,461.484,0.013,-273927000.0,-0.183,-95,520,411.09
2018-06-25,0.64,8.082,461.484,0.013,-273927000.0,-0.12,-77,641,384.48
2018-06-26,0.64,8.396,461.484,0.013,-273927000.0,-0.095,-62,654,399.39
2018-06-27,0.64,8.207,461.484,0.013,-273927000.0,-0.136,-89,654,390.39
2018-06-28,0.64,8.312,461.484,0.013,-273927000.0,-0.136,-61,450,395.42
2018-06-29,0.64,8.229,461.484,0.013,-273927000.0,-0.101,-39,386,391.43
2018-07-02,0.85,8.37,460.506,0.018,-545562000.0,-0.075,-28,375,398.18
2018-07-03,0.85,8.209,460.506,0.018,-545562000.0,-0.041,-12,294,390.52
2018-07-05,0.85,8.375,460.506,0.018,-545562000.0,-0.044,-16,366,398.39
2018-07-06,0.85,8.582,460.506,0.018,-545562000.0,0.032,14,443,408.25
2018-07-09,0.85,8.807,460.506,0.018,-545562000.0,-0.023,-11,473,418.97
2018-07-10,0.85,8.737,460.506,0.018,-545562000.0,-0.054,-22,404,415.63
2018-07-11,0.85,8.801,460.506,0.018,-545562000.0,-0.078,-38,484,418.65
2018-07-12,0.85,8.692,460.506,0.018,-545562000.0,-0.072,-45,625,413.5
2018-07-13,0.85,8.32,460.506,0.018,-545562000.0,-0.142,-100,706,395.8
2018-07-16,0.85,8.419,460.506,0.018,-545562000.0,-0.154,-382,2487,400.48
2018-07-17,0.85,7.977,460.506,0.018,-545562000.0,-0.111,-311,2813,379.48
2018-07-18,0.85,7.886,460.506,0.018,-545562000.0,-0.051,-39,767,375.13
2018-07-19,0.85,7.657,460.506,0.018,-545562000.0,-0.117,-80,683,364.23
2018-07-20,0.85,7.59,460.506,0.018,-545562000.0,-0.096,-55,575,361.05
2018-07-23,0.85,7.624,460.506,0.018,-545562000.0,-0.045,-21,471,362.66
2018-07-24,0.85,7.511,460.506,0.018,-545562000.0,-0.119,-57,480,357.32
2018-07-25,0.85,7.628,460.506,0.018,-545562000.0,-0.083,-43,516,362.87
2018-07-26,0.85,7.633,460.506,0.018,-545562000.0,-0.108,-65,599,363.09
2018-07-27,0.85,7.467,460.506,0.018,-545562000.0,-0.103,-44,426,355.21
2018-07-30,0.85,7.041,460.506,0.018,-545562000.0,-0.126,-82,653,334.96
2018-07-31,0.85,7.094,460.506,0.018,-545562000.0,-0.092,-46,503,337.45
2018-08-01,0.85,7.113,460.506,0.018,-545562000.0,-0.073,-21,288,338.38
2018-08-02,0.85,7.242,460.506,0.018,-545562000.0,-0.027,-9,332,344.5
2018-08-03,0.85,7.212,460.506,0.018,-545562000.0,-0.125,-39,313,343.09
2018-08-06,0.85,7.377,460.506,0.018,-545562000.0,0.003,1,314,350.92
2018-08-07,0.85,7.396,460.506,0.018,-545562000.0,-0.024,-9,376,351.83
2018-08-08,0.85,7.307,460.506,0.018,-545562000.0,-0.095,-28,295,347.61
2018-08-09,0.85,7.344,460.506,0.018,-545562000.0,-0.008,-2,256,349.36
2018-08-10,0.85,7.271,460.506,0.018,-545562000.0,-0.06,-11,185,345.87
2018-08-13,0.85,7.175,460.506,0.018,-545562000.0,-0.067,-24,357,341.31
2018-08-14,0.85,7.095,460.506,0.018,-545562000.0,-0.116,-38,327,337.49
2018-08-15,0.85,6.861,460.506,0.018,-545562000.0,-0.125,-47,375,326.4
2018-08-16,0.85,6.778,460.506,0.018,-545562000.0,-0.116,-37,318,322.44
2018-08-17,0.85,6.659,460.506,0.018,-545562000.0,-0.153,-63,412,316.78
2018-08-20,0.85,6.889,460.506,0.018,-545562000.0,-0.02,-13,662,327.73
2018-08-21,0.85,7.106,460.506,0.018,-545562000.0,-0.01,-5,497,338.02
2018-08-22,0.85,7.241,460.506,0.018,-545562000.0,0.033,11,332,344.44
2018-08-23,0.85,7.13,460.506,0.018,-545562000.0,-0.041,-13,320,339.17
2018-08-24,0.85,7.543,460.506,0.018,-545562000.0,0.015,9,588,358.82
2018-08-27,0.85,7.664,460.506,0.018,-545562000.0,-0.015,-8,524,364.58
2018-08-28,0.85,7.746,460.506,0.018,-545562000.0,-0.025,-7,281,368.49
2018-08-29,0.85,7.737,460.506,0.018,-545562000.0,-0.038,-11,288,368.04
2018-08-30,0.85,7.799,460.506,0.018,-545562000.0,0.047,19,408,370.98
2018-08-31,0.85,7.729,460.506,0.018,-545562000.0,-0.019,-5,264,367.68
2018-09-04,0.85,7.643,460.506,0.018,-545562000.0,-0.074,-22,297,363.6
2018-09-05,0.85,7.172,460.506,0.018,-545562000.0,-0.096,-43,448,341.18
2018-09-06,0.85,7.283,460.506,0.018,-545562000.0,-0.053,-22,414,346.46
2018-09-07,0.85,7.33,460.506,0.018,-545562000.0,-0.041,-14,340,348.68
2018-09-10,0.85,7.324,460.506,0.018,-545562000.0,-0.04,-13,324,348.41
2018-09-11,0.85,7.482,460.506,0.018,-545562000.0,-0.009,-3,323,355.93
2018-09-12,0.85,7.777,460.506,0.018,-545562000.0,-0.03,-14,463,369.95
2018-09-13,0.85,7.739,460.506,0.018,-545562000.0,-0.025,-9,363,368.15
2018-09-14,0.85,7.664,460.506,0.018,-545562000.0,-0.096,-22,230,364.56
2018-09-17,0.85,7.365,460.506,0.018,-545562000.0,-0.115,-36,313,350.35
2018-09-18,0.85,7.729,460.506,0.018,-545562000.0,0.007,3,408,367.65
2018-09-19,0.85,7.714,460.506,0.018,-545562000.0,-0.048,-24,502,366.96
2018-09-20,0.85,7.68,460.506,0.018,-545562000.0,-0.046,-17,366,365.36
2018-09-21,0.85,7.593,460.506,0.018,-545562000.0,-0.016,-5,313,361.19
2018-09-24,0.85,7.77,460.506,0.018,-545562000.0,0.012,5,427,369.61
2018-09-25,0.85,7.766,460.506,0.018,-545562000.0,-0.012,-4,347,369.43
2018-09-26,0.85,7.944,460.506,0.018,-545562000.0,0.038,20,526,377.88
2018-09-27,0.85,8.003,460.506,0.018,-545562000.0,-0.03,-11,370,380.71
2018-09-28,0.85,7.865,460.506,0.018,-545562000.0,-0.059,-17,290,374.13
2018-10-01,0.89,8.018,420.371,0.019,-729744000.0,0.013,5,376,381.43
2018-10-02,0.89,7.928,420.371,0.019,-729744000.0,-0.053,-17,323,377.14
2018-10-03,0.89,7.926,420.371,0.019,-729744000.0,-0.069,-17,245,377.05
2018-10-04,0.89,7.645,420.371,0.019,-729744000.0,-0.09,-30,334,363.65
2018-10-05,0.89,7.386,420.371,0.019,-729744000.0,-0.121,-46,380,351.35
2018-10-08,0.89,7.339,420.371,0.019,-729744000.0,-0.006,-2,343,349.1
2018-10-09,0.89,7.478,420.371,0.019,-729744000.0,0.016,5,319,355.71
2018-10-10,0.89,6.851,420.371,0.019,-729744000.0,-0.131,-75,574,325.89
2018-10-11,0.89,6.75,420.371,0.019,-729744000.0,-0.104,-55,531,321.1
2018-10-12,0.89,7.138,420.371,0.019,-729744000.0,-0.01,-5,507,339.56
2018-10-15,0.89,7.003,420.371,0.019,-729744000.0,-0.047,-26,548,333.13
2018-10-16,0.89,7.282,420.371,0.019,-729744000.0,-0.032,-62,1917,346.4
2018-10-17,0.89,7.667,420.371,0.019,-729744000.0,-0.121,-226,1861,364.7
2018-10-18,0.89,7.288,420.371,0.019,-729744000.0,-0.142,-145,1018,346.71
2018-10-19,0.89,6.993,420.371,0.019,-729744000.0,-0.173,-139,804,332.67
2018-10-22,0.89,6.927,420.371,0.019,-729744000.0,-0.159,-114,719,329.54
2018-10-23,0.89,7.004,420.371,0.019,-729744000.0,-0.103,-52,507,333.16
2018-10-24,0.89,6.345,420.371,0.019,-729744000.0,-0.166,-95,572,301.83
2018-10-25,0.89,6.577,420.371,0.019,-729744000.0,-0.109,-47,431,312.87
2018-10-26,0.89,6.303,420.371,0.019,-729744000.0,-0.122,-60,490,299.83
2018-10-29,0.89,5.988,420.371,0.019,-729744000.0,-0.138,-81,586,284.84
2018-10-30,0.89,6.008,420.371,0.019,-729744000.0,-0.122,-64,526,285.81
2018-10-31,0.89,6.344,420.371,0.019,-729744000.0,-0.019,-9,485,301.78
2018-11-01,0.89,6.672,420.371,0.019,-729744000.0,-0.051,-24,474,317.38
2018-11-02,0.89,6.498,420.371,0.019,-729744000.0,-0.082,-30,366,309.1
2018-11-05,0.89,6.631,420.371,0.019,-729744000.0,-0.015,-5,336,315.44
2018-11-06,0.89,6.534,420.371,0.019,-729744000.0,-0.021,-7,327,310.84
2018-11-07,0.89,6.885,420.371,0.019,-729744000.0,-0.066,-27,412,327.5
2018-11-08,0.89,6.683,420.371,0.019,-729744000.0,-0.075,-31,414,317.92
2018-11-09,0.89,6.379,420.371,0.019,-729744000.0,-0.08,-36,451,303.47
2018-11-12,0.89,6.182,420.371,0.019,-729744000.0,-0.039,-12,311,294.07
2018-11-13,0.89,6.189,420.371,0.019,-729744000.0,-0.073,-22,302,294.4
2018-11-14,0.89,6.028,420.371,0.019,-729744000.0,-0.116,-52,450,286.73
2018-11-15,0.89,6.098,420.371,0.019,-729744000.0,-0.062,-19,304,290.06
2018-11-16,0.89,6.017,420.371,0.019,-729744000.0,-0.194,-47,242,286.21
2018-11-19,0.89,5.688,420.371,0.019,-729744000.0,-0.128,-59,459,270.6
2018-11-20,0.89,5.612,420.371,0.019,-729744000.0,-0.129,-75,581,266.98
2018-11-21,0.89,5.51,420.371,0.019,-729744000.0,-0.093,-36,388,262.13
2018-11-23,0.89,5.441,420.371,0.019,-729744000.0,-0.112,-28,250,258.82
2018-11-26,0.89,5.496,420.371,0.019,-729744000.0,-0.079,-27,340,261.43
2018-11-27,0.89,5.605,420.371,0.019,-729744000.0,-0.038,-14,373,266.63
2018-11-28,0.89,5.942,420.371,0.019,-729744000.0,-0.022,-10,465,282.65
2018-11-29,0.89,6.07,420.371,0.019,-729744000.0,-0.02,-8,395,288.75
2018-11-30,0.89,6.015,420.371,0.019,-729744000.0,-0.091,-28,307,286.13
2018-12-03,0.89,6.103,420.371,0.019,-729744000.0,-0.103,-38,370,290.3
2018-12-04,0.89,5.788,420.371,0.019,-729744000.0,-0.108,-36,332,275.33
2018-12-06,0.89,5.947,420.371,0.019,-729744000.0,-0.069,-27,390,282.88
2018-12-07,0.89,5.574,420.371,0.019,-729744000.0,-0.116,-34,293,265.14
2018-12-10,0.89,5.67,420.371,0.019,-729744000.0,-0.11,-31,283,269.7
2018-12-11,0.89,5.577,420.371,0.019,-729744000.0,-0.174,-54,311,265.32
2018-12-12,0.89,5.778,420.371,0.019,-729744000.0,-0.051,-23,453,274.88
2018-12-13,0.89,5.802,420.371,0.019,-729744000.0,-0.127,-35,276,276.02
2018-12-14,0.89,5.609,420.371,0.019,-729744000.0,-0.13,-37,284,266.84
2018-12-17,0.89,5.524,420.371,0.019,-729744000.0,-0.097,-30,308,262.8
2018-12-18,0.89,5.696,420.371,0.019,-729744000.0,-0.069,-28,404,270.94
2018-12-19,0.89,5.608,420.371,0.019,-729744000.0,-0.079,-34,431,266.77
2018-12-20,0.89,5.478,420.371,0.019,-729744000.0,-0.164,-82,499,260.58
2018-12-21,0.89,5.18,420.371,0.019,-729744000.0,-0.163,-74,454,246.39
2018-12-24,0.89,4.917,420.371,0.019,-729744000.0,-0.109,-33,303,233.88
2018-12-26,0.89,5.333,420.371,0.019,-729744000.0,-0.07,-23,330,253.67
2018-12-27,0.89,5.373,420.371,0.019,-729744000.0,-0.089,-31,349,255.57
2018-12-28,0.89,5.383,420.371,0.019,-729744000.0,-0.006,-2,310,256.08
2018-12-31,0.3,5.627,892.2,0.006,-1305192000.0,-0.03,-11,368,267.66
2019-01-02,0.3,5.627,892.2,0.006,-1305192000.0,-0.118,-67,566,267.66
2019-01-03,0.3,5.701,892.2,0.006,-1305192000.0,-0.123,-67,543,271.2
2019-01-04,0.3,6.255,892.2,0.006,-1305192000.0,0.015,11,715,297.57
2019-01-07,0.3,6.629,892.2,0.006,-1305192000.0,-0.028,-18,647,315.34
2019-01-08,0.3,6.733,892.2,0.006,-1305192000.0,-0.092,-59,638,320.27
2019-01-09,0.3,6.726,892.2,0.006,-1305192000.0,-0.049,-22,449,319.96
2019-01-10,0.3,6.825,892.2,0.006,-1305192000.0,-0.049,-34,688,324.66
2019-01-11,0.3,7.097,892.2,0.006,-1305192000.0,-0.044,-47,1064,337.59
2019-01-14,0.3,6.999,892.2,0.006,-1305192000.0,-0.088,-35,398,332.94
2019-01-15,0.3,7.455,892.2,0.006,-1305192000.0,-0.078,-112,1434,354.64
2019-01-16,0.3,7.387,892.2,0.006,-1305192000.0,-0.116,-93,803,351.39
2019-01-17,0.3,7.425,892.2,0.006,-1305192000.0,-0.12,-269,2244,353.19
2019-01-18,0.3,7.128,892.2,0.006,-1305192000.0,-0.09,-144,1609,339.1
2019-01-22,0.3,6.835,892.2,0.006,-1305192000.0,-0.105,-84,798,325.16
2019-01-23,0.3,6.769,892.2,0.006,-1305192000.0,-0.125,-71,568,321.99
2019-01-24,0.3,6.867,892.2,0.006,-1305192000.0,-0.07,-30,429,326.67
2019-01-25,0.3,7.106,892.2,0.006,-1305192000.0,-0.062,-24,388,338.05
2019-01-28,0.3,7.056,892.2,0.006,-1305192000.0,-0.068,-22,326,335.66
2019-01-29,0.3,6.914,892.2,0.006,-1305192000.0,-0.104,-37,357,328.9
2019-01-30,0.3,7.161,892.2,0.006,-1305192000.0,-0.083,-28,336,340.66
2019-01-31,0.3,7.137,892.2,0.006,-1305192000.0,-0.069,-28,404,339.5
2019-02-01,0.3,7.144,892.2,0.006,-1305192000.0,-0.086,-28,325,339.85
2019-02-04,0.3,7.386,892.2,0.006,-1305192000.0,-0.069,-36,523,351.34
2019-02-05,0.3,7.48,892.2,0.006,-1305192000.0,-0.055,-26,473,355.81
2019-02-06,0.3,7.404,892.2,0.006,-1305192000.0,-0.139,-50,360,352.19
2019-02-07,0.3,7.246,892.2,0.006,-1305192000.0,-0.113,-32,284,344.71
2019-02-08,0.3,7.306,892.2,0.006,-1305192000.0,-0.101,-34,336,347.57
2019-02-11,0.3,7.268,892.2,0.006,-1305192000.0,-0.068,-17,252,345.73
2019-02-12,0.3,7.567,892.2,0.006,-1305192000.0,-0.011,-6,526,359.97
2019-02-13,0.3,7.395,892.2,0.006,-1305192000.0,-0.057,-29,509,351.77
2019-02-14,0.3,7.548,892.2,0.006,-1305192000.0,-0.002,-1,441,359.07
2019-02-15,0.3,7.502,892.2,0.006,-1305192000.0,-0.094,-39,416,356.87
